variant,n_features,fit_n,cal_n,sel_n,sel_base_rate,pr_auc,p_at_r70,precision,recall,review_share,cost_per_1000,band_lo,band_hi
A_pre_improvement,55,79672,11567,40107,0.03041863016431047,0.8701421426504322,0.9553941908713693,0.9252506836827712,0.8319672131147541,0.007081058169396863,15262.435964594708,0.034305084745762715,0.3
B_plus_rate_features,63,79672,11567,40107,0.03041863016431047,0.8727609151854396,0.9586129753914989,0.9177330895795247,0.8229508196721311,0.004338394793926247,18689.29596369711,0.04440677966101694,0.3
C_stable_only,49,79672,11567,40107,0.03041863016431047,0.8789999293355107,0.9557713052858684,0.9367088607594937,0.7885245901639344,0.011269853142842895,14309.024783504126,0.07471186440677965,0.34406779661016945
