ring_type,abuse_orders,recall_auto_action,sent_to_review,missed,recall_incl_review,median_score
R3_phone_family,407,0.9828009828009828,0.009828009828009828,0.007371007371007371,0.9926289926289926,0.9653465346534653
R2_address_fuzz,429,0.9766899766899767,0.013986013986013986,0.009324009324009324,0.9906759906759907,0.9653465346534653
R1_shared_device,311,0.887459807073955,0.03858520900321544,0.07395498392282958,0.9260450160771704,0.9653465346534653
R5_hybrid,116,0.7844827586206896,0.14655172413793102,0.06896551724137931,0.9310344827586207,0.9542765248761087
R4_burst_value,253,0.37549407114624506,0.49407114624505927,0.13043478260869565,0.8695652173913043,0.2033898305084746
none,71,0.0,0.028169014084507043,0.971830985915493,0.028169014084507043,0.0013116474291710388
