ring_type,abuse_orders,recall_auto_action,sent_to_review,missed,recall_incl_review,median_score
R2_address_fuzz,451,0.9800443458980045,0.013303769401330377,0.0066518847006651885,0.9933481152993349,0.967741935483871
R3_phone_family,326,0.9631901840490797,0.027607361963190184,0.009202453987730062,0.99079754601227,0.967741935483871
R1_shared_device,382,0.8586387434554974,0.0968586387434555,0.04450261780104712,0.9554973821989529,0.970252290699134
R5_hybrid,169,0.7988165680473372,0.10650887573964497,0.09467455621301775,0.9053254437869822,0.967741935483871
R4_burst_value,296,0.5101351351351351,0.4155405405405405,0.07432432432432433,0.9256756756756757,0.6470588235294118
none,200,0.015,0.065,0.92,0.08,0.0023059185242121443
